iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,f1_trg,f1_tst,elapsed
0,0.093692925,0.093298265,0.763680915,0.77877551,0.158914729,0.160990712,0.034260572
10,0.068064165,0.066276279,0.798802069,0.807346939,0.229405631,0.233766234,0.134784353
20,0.066212669,0.065145575,0.814320719,0.814693878,0.418088737,0.38147139,0.165665575
30,0.064981893,0.0644237,0.814320719,0.805714286,0.458730159,0.398989899,0.191694122
40,0.064122088,0.063804832,0.819493602,0.807346939,0.476716654,0.415841584,0.222818883
50,0.063744249,0.063698951,0.821127144,0.813877551,0.48791894,0.435643564,0.246972743
60,0.063499765,0.063741686,0.818132317,0.813877551,0.467304625,0.427135678,0.272435298
70,0.063152259,0.063652366,0.82058263,0.809795918,0.493466564,0.441247002,0.297248413
80,0.062851275,0.063574158,0.823032943,0.814693878,0.490595611,0.442260442,0.321360362
90,0.062647587,0.063805774,0.823577457,0.811428571,0.498452012,0.446043165,0.346861808
100,0.062484424,0.063846975,0.820854887,0.810612245,0.499238965,0.442307692,0.371876555
110,0.062332663,0.0640742,0.819221345,0.808163265,0.491577335,0.439140811,0.396933211
120,0.062164002,0.064350341,0.821399401,0.808163265,0.496159754,0.439140811,0.422112958
130,0.062071294,0.064789422,0.821943915,0.807346939,0.5,0.440758294,0.446006289
140,0.061936984,0.064744503,0.821671658,0.809795918,0.497313891,0.446555819,0.47060909
150,0.061718895,0.064809753,0.824938742,0.808979592,0.504240555,0.440191388,0.494661002
160,0.061582442,0.064979081,0.825755513,0.808979592,0.504643963,0.432038835,0.51953944
170,0.061471182,0.065113429,0.826572284,0.805714286,0.506584043,0.422330097,0.543820922
180,0.061425817,0.065145022,0.82602777,0.806530612,0.505800464,0.431654676,0.570045811
190,0.06137412,0.065270329,0.82602777,0.806530612,0.505800464,0.434367542,0.594728659
200,0.061302966,0.065364421,0.825483256,0.805714286,0.502715283,0.43062201,0.619169858
210,0.061256008,0.065400139,0.825483256,0.804081633,0.50348567,0.423076923,0.649141107
220,0.061206225,0.065481415,0.824394228,0.80244898,0.501160093,0.423809524,0.685961301
230,0.061168335,0.065545404,0.824394228,0.799183673,0.501930502,0.414285714,0.714484908
240,0.061122125,0.065605222,0.825483256,0.803265306,0.508058327,0.430260047,0.741609953
250,0.061086815,0.065617464,0.824666485,0.803265306,0.504615385,0.430260047,0.769452402
260,0.061049727,0.0657179,0.824938742,0.80244898,0.502706883,0.423809524,0.804187973
270,0.061027076,0.065844389,0.824938742,0.80244898,0.503474903,0.423809524,0.836275562
280,0.061009858,0.065937725,0.825210999,0.801632653,0.50462963,0.42280285,0.864099133
290,0.060974228,0.065986628,0.824666485,0.803265306,0.502318393,0.424821002,0.894541604
300,0.060961244,0.06605577,0.827116798,0.804081633,0.510408635,0.431279621,0.922829598
310,0.060937144,0.066075243,0.826572284,0.80244898,0.506584043,0.429245283,0.955560967
320,0.060923082,0.066080852,0.825210999,0.801632653,0.501552795,0.428235294,0.982331464
330,0.060911772,0.066099981,0.825210999,0.80244898,0.4984375,0.423809524,1.008081737
340,0.060883484,0.066057676,0.825483256,0.804081633,0.500389712,0.431279621,1.032800838
350,0.060855615,0.066059443,0.825210999,0.803265306,0.497652582,0.430260047,1.057677386
360,0.060821011,0.066120675,0.82602777,0.803265306,0.50039093,0.430260047,1.082429712
370,0.060806555,0.066115003,0.826300027,0.80244898,0.500782473,0.429245283,1.106741777
380,0.060779829,0.066092329,0.82602777,0.801632653,0.50117096,0.425531915,1.131077252
390,0.060756709,0.066054836,0.826572284,0.80244898,0.504280156,0.431924883,1.156977424
400,0.060722388,0.06600313,0.825755513,0.80244898,0.500780031,0.431924883,1.182785089
410,0.060713394,0.066016799,0.825755513,0.804081633,0.499217527,0.431279621,1.207534771
420,0.060699288,0.066023772,0.825483256,0.803265306,0.501942502,0.430260047,1.232733774
430,0.060691641,0.066006369,0.824666485,0.804081633,0.5,0.431279621,1.257484212
440,0.060679163,0.066027285,0.825210999,0.804081633,0.5,0.431279621,1.282306013
450,0.060652209,0.066058107,0.825755513,0.80244898,0.50310559,0.426540284,1.307935082
460,0.060622333,0.066086771,0.825755513,0.803265306,0.50310559,0.432941176,1.332721389
470,0.060592574,0.066002293,0.826300027,0.801632653,0.504658385,0.42280285,1.356407804
480,0.060584927,0.066035437,0.826300027,0.80244898,0.50619195,0.426540284,1.380729311
490,0.060567533,0.065993344,0.825755513,0.80244898,0.503875969,0.423809524,1.40449162
500,0.060547906,0.065983961,0.826844541,0.805714286,0.510015408,0.438679245,1.428590731
510,0.060536032,0.065995137,0.826844541,0.804081633,0.508500773,0.431279621,1.452834831
520,0.060518009,0.066012207,0.827116798,0.804081633,0.50965251,0.431279621,1.477834852
