iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,f1_trg,f1_tst,elapsed
0,0.161181632,0.16224462,0.21862238,0.209795918,0.358802502,0.34682861,0.011381425
10,0.159397197,0.160388895,0.21862238,0.209795918,0.358802502,0.34682861,0.047347152
20,0.157618254,0.158626967,0.21862238,0.209795918,0.358802502,0.34682861,0.072348305
30,0.129705058,0.129999369,0.383337871,0.373877551,0.352301973,0.320637733,0.087250674
40,0.129452467,0.129727809,0.37979853,0.37877551,0.356497175,0.337684943,0.113460839
50,0.129145207,0.129338534,0.384426899,0.38122449,0.352334575,0.336252189,0.12490721
60,0.128823208,0.128978969,0.380343044,0.380408163,0.350085665,0.337117904,0.136895031
70,0.125343563,0.125423823,0.516743806,0.521632653,0.366749911,0.347438753,0.150640492
80,0.105879354,0.105330647,0.781105363,0.790204082,0,0,0.16135964
90,0.096907008,0.095562029,0.781105363,0.790204082,0,0,0.176837064
100,0.096174405,0.094735842,0.781105363,0.790204082,0,0,0.189815282
110,0.094531023,0.09304336,0.78137762,0.790204082,0,0,0.203589816
120,0.086055955,0.084047749,0.78137762,0.790204082,0,0,0.216045459
130,0.085670231,0.083647414,0.78137762,0.790204082,0,0,0.227444253
140,0.084826526,0.082701603,0.78137762,0.790204082,0,0,0.240598801
150,0.083157195,0.080938712,0.78137762,0.790204082,0,0,0.260837902
160,0.082929326,0.080832853,0.78137762,0.790204082,0,0,0.276541121
170,0.080751518,0.077992855,0.78137762,0.790204082,0,0,0.286961225
180,0.080051427,0.077288026,0.78137762,0.790204082,0,0,0.298795747
190,0.080020473,0.077303744,0.78137762,0.790204082,0,0,0.311547792
200,0.079774285,0.07704584,0.78137762,0.790204082,0,0,0.326051436
210,0.079408544,0.076628378,0.78137762,0.790204082,0,0,0.342207374
220,0.079266742,0.076542823,0.78137762,0.790204082,0,0,0.356379879
230,0.07847527,0.075775713,0.78137762,0.790204082,0,0,0.375222684
240,0.078180876,0.075533878,0.78137762,0.790204082,0,0,0.389969868
250,0.074272427,0.071556033,0.784100191,0.799183673,0.029375765,0.088888889,0.405075375
260,0.074144576,0.070773167,0.781105363,0.791836735,0,0.015444015,0.421750863
270,0.073804963,0.070477368,0.782738906,0.795918367,0.022058824,0.060150376,0.436803507
280,0.073792689,0.070470247,0.782738906,0.795918367,0.022058824,0.060150376,0.450971479
290,0.073279954,0.070095078,0.785461476,0.8,0.05060241,0.109090909,0.46711911
300,0.07349217,0.070367296,0.787095018,0.801632653,0.071258907,0.129032258,0.483398517
310,0.073103007,0.069911077,0.787367275,0.80244898,0.069129917,0.135714286,0.499665462
320,0.072402851,0.069157743,0.790906616,0.803265306,0.140939597,0.183050847,0.510239619
330,0.072500857,0.069511289,0.787095018,0.8,0.111363636,0.163822526,0.520827369
