iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,f1_trg,f1_tst,elapsed
0,0.10721601,0.106516423,0.78137762,0.790204082,0,0,0.001359292
10,0.108543385,0.107824616,0.78137762,0.790204082,0,0,0.022705837
20,0.101276794,0.100135684,0.78137762,0.790204082,0,0,0.037952936
30,0.098579545,0.097310002,0.78137762,0.790204082,0,0,0.055463634
40,0.098757946,0.097566127,0.78137762,0.790204082,0,0,0.073017377
50,0.09583016,0.094361692,0.78137762,0.790204082,0,0,0.092505845
60,0.096161473,0.094825706,0.78137762,0.790204082,0,0,0.113913558
70,0.098467569,0.097354079,0.78137762,0.790204082,0,0,0.131612294
80,0.092716167,0.090904008,0.78137762,0.790204082,0,0,0.152223312
90,0.093212009,0.091290514,0.78137762,0.790204082,0,0,0.17132627
100,0.102230615,0.100119697,0.753607405,0.76,0,0,0.192252944
110,0.10261689,0.100385757,0.759052546,0.767346939,0,0,0.212192621
120,0.102803764,0.100599261,0.759869317,0.768163265,0,0,0.22857964
130,0.103601159,0.101676887,0.754696433,0.761632653,0.002214839,0,0.250250905
140,0.104017375,0.102188136,0.749251293,0.751020408,0.002166847,0,0.270358609
150,0.103374854,0.101578155,0.750340321,0.752653061,0.002176279,0,0.289475158
160,0.09857105,0.096739259,0.78137762,0.790204082,0,0,0.309433336
170,0.09554455,0.093798275,0.78137762,0.790204082,0,0,0.331103845
180,0.096282744,0.094176182,0.78137762,0.790204082,0,0,0.348420847
190,0.094769574,0.092811402,0.78137762,0.790204082,0,0,0.367979545
200,0.092655643,0.090692646,0.78137762,0.790204082,0,0,0.386297891
210,0.097770687,0.096381998,0.774026681,0.779591837,0,0,0.40430662
220,0.10169107,0.10065405,0.723386877,0.720816327,0.036053131,0.022857143,0.422239454
230,0.10095605,0.099869107,0.733732644,0.728979592,0.039292731,0.029239766,0.43808804
240,0.09779849,0.096658945,0.741900354,0.73877551,0.048192771,0.024390244,0.455463189
250,0.10064413,0.099532902,0.725020419,0.723265306,0.10619469,0.086253369,0.471638007
260,0.105877171,0.10459678,0.710046284,0.713469388,0.099746407,0.115869018,0.487527373
270,0.111546103,0.110285209,0.668118704,0.68244898,0.11086798,0.125842697,0.506270497
280,0.106492994,0.105117105,0.674108358,0.672653061,0.061176471,0.038369305,0.522173836
290,0.135350926,0.13502715,0.448951811,0.466938776,0.295755045,0.289445049,0.538663933
300,0.124408991,0.123321367,0.528178601,0.551020408,0.248807976,0.262734584,0.559358773
310,0.133144243,0.132634933,0.465014974,0.475918367,0.289330922,0.281879195,0.57833071
320,0.141812608,0.14134201,0.413558399,0.419591837,0.338452088,0.327341533,0.598185431
330,0.14658778,0.146249912,0.384426899,0.38122449,0.336366305,0.324420677,0.618168153
340,0.147280953,0.146923162,0.378709502,0.377959184,0.323651452,0.31842576,0.633628965
350,0.156617836,0.156735166,0.290770487,0.280816327,0.366642354,0.347890452,0.655811094
360,0.175747172,0.176724997,0.21862238,0.209795918,0.358802502,0.34682861,0.670715352
370,0.18685604,0.18855918,0.21862238,0.209795918,0.358802502,0.34682861,0.686012668
380,0.195561424,0.197193545,0.21862238,0.209795918,0.358802502,0.34682861,0.702738751
390,0.195510023,0.19700249,0.21862238,0.209795918,0.358802502,0.34682861,0.721188493
400,0.1863669,0.187502463,0.219983665,0.210612245,0.359203758,0.347062795,0.737000453
410,0.200684245,0.202591691,0.218894637,0.209795918,0.358882682,0.34682861,0.753849254
420,0.216614653,0.218761908,0.21862238,0.209795918,0.358802502,0.34682861,0.772393391
430,0.216244669,0.218700006,0.21862238,0.209795918,0.358802502,0.34682861,0.790340953
440,0.188569141,0.190506149,0.23223523,0.217959184,0.360254083,0.343835616,0.808927758
450,0.18909709,0.191324136,0.240675197,0.231020408,0.361930908,0.347645429,0.826157158
460,0.184904276,0.186804278,0.245303567,0.226938776,0.363051471,0.346445825,0.84386231
470,0.186880962,0.189027341,0.245575824,0.226938776,0.363719862,0.346445825,0.864977773
480,0.18569784,0.188156841,0.256466104,0.234285714,0.366210258,0.349514563,0.883496236
490,0.235330051,0.238305382,0.21862238,0.209795918,0.358802502,0.34682861,0.909081506
500,0.234355814,0.237290182,0.21862238,0.209795918,0.358802502,0.34682861,0.930858495
510,0.234631157,0.237620207,0.21862238,0.209795918,0.358802502,0.34682861,0.948332943
