iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,f1_trg,f1_tst,elapsed
0,0.12938035,0.129489832,0.434794446,0.419591837,0.264872521,0.233009709,0.01935254
10,0.091963968,0.090487878,0.78137762,0.790204082,0,0,0.223297659
20,0.08963443,0.087311009,0.78137762,0.790204082,0,0,0.356989669
30,0.088649061,0.086514275,0.78137762,0.790204082,0,0,0.509991175
40,0.086742988,0.084278357,0.78137762,0.790204082,0,0,0.657973495
50,0.086710984,0.08445878,0.78137762,0.790204082,0,0,0.790428172
60,0.087182977,0.084751323,0.78137762,0.790204082,0,0,0.919139888
70,0.087257858,0.085131105,0.78137762,0.790204082,0,0,1.054060926
80,0.087760591,0.085597634,0.78137762,0.790204082,0,0,1.190147933
90,0.08595144,0.08311536,0.78137762,0.790204082,0,0,1.322026799
100,0.0858648,0.083117193,0.78137762,0.790204082,0,0,1.451651126
110,0.09072379,0.088690454,0.78137762,0.790204082,0,0,1.585889117
120,0.085169365,0.08237341,0.78137762,0.790204082,0,0,1.718328314
130,0.086189274,0.083388199,0.78137762,0.790204082,0,0,1.850376335
140,0.084744622,0.081890932,0.78137762,0.790204082,0,0,1.982883121
150,0.084569608,0.08163602,0.78137762,0.790204082,0,0,2.11528456
160,0.084766733,0.081934331,0.78137762,0.790204082,0,0,2.243744805
170,0.084639379,0.081779521,0.78137762,0.790204082,0,0,2.374968571
180,0.085937258,0.082711331,0.78137762,0.790204082,0,0,2.51518707
190,0.082959269,0.080239447,0.78137762,0.790204082,0,0,2.647260766
200,0.083595953,0.080837689,0.78137762,0.790204082,0,0,2.787108856
210,0.08393277,0.081116242,0.78137762,0.790204082,0,0,2.942817617
220,0.085614843,0.083608914,0.78137762,0.790204082,0,0,3.083125603
230,0.083836177,0.081236496,0.78137762,0.790204082,0,0,3.218713445
240,0.087167873,0.085173251,0.78137762,0.790204082,0,0,3.381223951
250,0.084312033,0.081174285,0.78137762,0.790204082,0,0,3.527449386
260,0.084388522,0.081967688,0.78137762,0.790204082,0,0,3.660426257
270,0.084229901,0.081718809,0.78137762,0.790204082,0,0,3.791574882
280,0.087352919,0.085170642,0.78137762,0.790204082,0,0,3.922400296
290,0.086782691,0.08457587,0.78137762,0.790204082,0,0,4.058308706
300,0.087475176,0.08532426,0.78137762,0.790204082,0,0,4.189408247
310,0.087331699,0.085327149,0.78137762,0.790204082,0,0,4.315896387
320,0.087322706,0.085277074,0.78137762,0.790204082,0,0,4.446226415
330,0.08720996,0.085121949,0.78137762,0.790204082,0,0,4.57618566
340,0.08698671,0.084918896,0.78137762,0.790204082,0,0,4.710272621
350,0.085063606,0.082741097,0.78137762,0.790204082,0,0,4.848495227
360,0.08380426,0.08123633,0.78137762,0.790204082,0,0,4.982214422
370,0.084293327,0.081993698,0.78137762,0.790204082,0,0,5.120631859
380,0.08301201,0.080447378,0.78137762,0.790204082,0,0,5.256021095
390,0.082864266,0.080449597,0.78137762,0.790204082,0,0,5.393981661
400,0.082322797,0.079568817,0.78137762,0.790204082,0,0,5.532626403
410,0.082677356,0.080022324,0.78137762,0.790204082,0,0,5.671478813
420,0.083393127,0.080577827,0.78137762,0.790204082,0,0,5.807091955
430,0.082545717,0.079803302,0.78137762,0.790204082,0,0,5.937673453
440,0.083492275,0.080939766,0.78137762,0.790204082,0,0,6.070637863
450,0.082429971,0.079674861,0.78137762,0.790204082,0,0,6.204253978
460,0.083749315,0.081170094,0.78137762,0.790204082,0,0,6.340901313
470,0.086163365,0.083630048,0.781105363,0.790204082,0,0,6.475679621
480,0.082665362,0.080095985,0.78137762,0.790204082,0,0,6.607693283
490,0.082884662,0.080262484,0.78137762,0.790204082,0,0,6.737551713
500,0.084213223,0.081809189,0.78137762,0.790204082,0,0,6.859550039
510,0.083147965,0.080893771,0.78137762,0.790204082,0,0,6.987788645
520,0.083294305,0.08069612,0.78137762,0.790204082,0,0,7.113493305
530,0.082257658,0.079952974,0.78137762,0.790204082,0,0,7.242161222
540,0.087904503,0.085947977,0.78137762,0.790204082,0,0,7.369234991
550,0.086223667,0.084518948,0.781649877,0.789387755,0.009876543,0.007692308,7.502861301
560,0.082777178,0.08026858,0.78137762,0.790204082,0,0,7.637672463
570,0.079637078,0.077174414,0.78137762,0.790204082,0,0,7.7708638
580,0.081107222,0.078494032,0.78137762,0.790204082,0,0,7.900822668
590,0.082821455,0.080498577,0.78137762,0.790204082,0,0,8.026078384
600,0.0831557,0.08086265,0.78137762,0.790204082,0,0,8.161429105
610,0.083322797,0.080943079,0.78137762,0.790204082,0,0,8.295786036
620,0.083685734,0.081581177,0.780560849,0.794285714,0.026570048,0.066666667,8.424444513
630,0.080379717,0.077542259,0.78137762,0.790204082,0,0,8.552597032
640,0.079899364,0.077043431,0.78137762,0.790204082,0,0,8.686748934
650,0.080235666,0.077566046,0.78137762,0.790204082,0,0,8.823190111
660,0.080627914,0.077874067,0.78137762,0.790204082,0,0,8.982168343
670,0.080758129,0.077843714,0.78137762,0.790204082,0,0,9.138531828
680,0.080678906,0.07784819,0.78137762,0.790204082,0,0,9.27433225
690,0.080711307,0.077562318,0.78137762,0.790204082,0,0,9.464712013
700,0.080809778,0.077588158,0.781105363,0.790204082,0,0,9.637875211
710,0.081296208,0.078547954,0.78137762,0.790204082,0,0,9.800186731
720,0.079569313,0.076363991,0.78137762,0.790204082,0,0,9.968963573
730,0.07989877,0.076650916,0.78137762,0.790204082,0,0,10.12234077
740,0.07981255,0.076369917,0.78137762,0.790204082,0,0,10.25036378
750,0.080597758,0.077217016,0.78137762,0.790204082,0,0,10.48149095
760,0.082340103,0.078609535,0.78137762,0.790204082,0,0,10.73282967
770,0.083823721,0.080180227,0.78137762,0.790204082,0,0,10.92118446
780,0.083558388,0.079812584,0.78137762,0.790204082,0,0,11.07512275
790,0.082845255,0.079291728,0.78137762,0.790204082,0,0,11.24570291
800,0.082374429,0.078835303,0.78137762,0.790204082,0,0,11.38102947
810,0.085887949,0.082050977,0.78137762,0.790204082,0,0,11.51698433
820,0.080141772,0.07708416,0.78137762,0.790204082,0,0,11.65733762
830,0.08021941,0.077198873,0.78137762,0.790204082,0,0,11.79065998
840,0.081244393,0.078103941,0.78137762,0.790204082,0,0,11.92690293
850,0.08025788,0.077191229,0.78137762,0.790204082,0,0,12.09066058
860,0.080030155,0.076284836,0.78137762,0.790204082,0,0,12.23002839
870,0.08006818,0.076945914,0.78137762,0.790204082,0,0,12.37722761
880,0.081650797,0.07861078,0.78137762,0.790204082,0,0,12.5102109
890,0.080694911,0.07764854,0.78137762,0.790204082,0,0,12.64728641
900,0.080619966,0.077716283,0.78137762,0.790204082,0,0,12.77870312
