iterations,fitness,time
0,1818.2046823,0.00479641199999
10,1822.21849432,0.008813119
20,1842.37020743,0.012980104
30,1860.01244155,0.014055077
40,1934.49226431,0.014994877
50,1946.46133009,0.017758392
60,1954.64870422,0.019025177
70,1971.84121548,0.020638204
80,1915.23681604,0.022025436
90,1971.92960393,0.023386615
100,1925.34520639,0.02588167
110,1940.9025555,0.027106542
120,1948.39469044,0.028135073
130,1942.99401266,0.02910017
140,1965.25662414,0.030317869
150,1946.97543675,0.031489503
160,1965.78248517,0.032504818
170,1993.59789437,0.033281125
180,1992.81966983,0.034259437
190,1984.97407023,0.035380475
200,2011.83139283,0.036713714
210,1949.08660526,0.037879684
220,1971.9508773,0.038816462
230,1976.48505076,0.039883506
240,2023.86271099,0.04090373
250,2039.97843792,0.041925841
260,2055.1100329,0.042895846
270,1900.89402981,0.043993474
280,1964.32835907,0.045107338
290,1925.21661998,0.04624499
300,2002.16842567,0.048149886
310,1980.5899562,0.049112718
320,2012.75811465,0.050140871
330,2036.32038931,0.051092375
340,1965.08588201,0.052150735
350,2011.86141092,0.053243077
360,2025.31888962,0.054183254
370,2021.76900409,0.055090204
380,2026.68514356,0.056043974
390,2035.45884297,0.056895797
400,2090.05965923,0.068199441
410,2071.66402908,0.06912527
420,2065.76812095,0.070053742
430,2046.77430998,0.071242744
440,2066.78710749,0.072097965
450,2078.10827119,0.0730513570001
460,2057.78037966,0.074040619
470,2142.07392358,0.074805598
480,2086.02446058,0.075664595
490,2082.90999913,0.076376713
500,2092.83354845,0.077248925
510,2103.97863397,0.078164182
520,2030.07723015,0.079061693
530,1996.11080186,0.082067238
540,2008.19601373,0.08293794
550,2030.69241585,0.083921916
560,2002.72118281,0.084683119
570,2044.68834131,0.085543626
580,2009.63524453,0.086264806
590,2012.3405172,0.087014304
600,2062.51117105,0.088201041
610,2062.89944429,0.089553536
620,2100.66569043,0.090269807
630,2070.55126932,0.091201299
640,2063.65108258,0.092119954
650,2068.21650991,0.093008025
660,2066.59461858,0.093782066
670,2088.33628395,0.094818526
680,2108.50475999,0.095565759
690,2161.98512402,0.09652557
700,2129.0783433,0.097500862
710,2172.32093552,0.098271505
720,2157.31328875,0.099136544
730,2128.74074498,0.100068037
740,2148.55224951,0.100994621
750,2155.16711506,0.101706738
760,2128.87787917,0.102608401
770,2090.52431682,0.103311457
780,2108.24377824,0.104219162
790,2141.10104767,0.105127244
800,2148.46682515,0.106056849
810,2192.20965841,0.107004577
820,2088.29755002,0.107723869
830,2135.0914175,0.108744093
840,2161.21586576,0.109879857
850,2160.15641329,0.110784164
860,2202.38737213,0.111852341
870,2126.87127422,0.11256106
880,2131.21511923,0.113795372
890,2192.79542353,0.114816351
900,2174.44613857,0.115549236
910,2143.84774619,0.116445613
920,2117.01465929,0.117712398
930,2167.19521753,0.118596692
940,2150.54896525,0.119682993
950,2123.9231338,0.120411347
960,2108.99112664,0.121342839
970,2130.15458707,0.122264515
980,2122.42506011,0.122969836
990,2155.06042903,0.123765399
1000,2204.81591439,0.124637989
1010,2169.74445048,0.125432042
1020,2136.00004306,0.126349564
1030,2144.70533036,0.127582366
1040,2169.11576939,0.128641103
1050,2123.79458553,0.12958581
1060,2185.26603284,0.130313786
1070,2118.72075217,0.131018729
1080,2108.1004523,0.13187697
1090,2137.01951925,0.132884734
1100,2166.62491088,0.133783755
1110,2104.30112653,0.134695614
1120,2093.48820373,0.135575
1130,2114.04909401,0.136482327
1140,2019.98449186,0.13734812
1150,2092.88746954,0.139095942
1160,2153.9543136,0.139803529
1170,2095.2790609,0.140850184
1180,2097.38926022,0.141613653
1190,2091.52854707,0.142317842
1200,2049.28583198,0.143188166
1210,2014.82749012,0.144118525
1220,2063.33272657,0.145378891
1230,2056.87704718,0.14614085
1240,2060.85848574,0.147017971
1250,2076.96222545,0.147889428
1260,2125.28473534,0.148831116
1270,2150.63042715,0.149648956
1280,2143.68964433,0.150501156
1290,2131.5841591,0.151567823
1300,2103.4399034,0.152606549
1310,2053.39267129,0.153636967
1320,2055.12229499,0.154359657
1330,2133.01395804,0.155263209
1340,1987.46457124,0.156152413
1350,2083.85735017,0.15866748
1360,2055.21207867,0.159607657
1370,2050.52737104,0.160391893
1380,2151.43062866,0.161454028
1390,2118.28106349,0.16254788
1400,2050.89980141,0.163695349
1410,2048.63038186,0.164615892
1420,2120.36093634,0.165442795
1430,2067.88402037,0.166374287
1440,2028.93122135,0.167270287
1450,2059.20306397,0.168309012
1460,2097.1961872,0.169286191
1470,2106.32648886,0.170166333
1480,2082.21055815,0.171023819
1490,2086.86528204,0.171947759
1500,2097.02810635,0.172822614
1510,2041.0079463,0.173690296
1520,2052.18376527,0.174408455
1530,2039.18223468,0.175296904
1540,2037.31622217,0.176574639
1550,2058.89105151,0.177461577
1560,2029.68423107,0.178367017
1570,2074.32874576,0.17911274
1580,2057.96564554,0.179900752
1590,2043.18858271,0.180883218
1600,2034.12061106,0.181937802
1610,1992.2927886,0.182833802
1620,1908.92600895,0.183701484
1630,1970.15458461,0.184806286
1640,1980.72186316,0.185836327
1650,2054.30730722,0.186547312
1660,2107.86197198,0.187508633
1670,1991.31309166,0.188507712
1680,2055.36936413,0.189392762
1690,2081.81853653,0.19038882
1700,1952.10711702,0.191351651
1710,1981.33968439,0.192310707
1720,1964.14513984,0.193159131
1730,1992.8639244,0.194086847
1740,2015.21891975,0.19507913
1750,2049.77879608,0.195941902
1760,2059.80555191,0.196940982
1770,2049.43138341,0.197652345
1780,1999.90897759,0.198625749
1790,2030.3539417,0.199409607
1800,2006.7610307,0.200389053
1810,2060.47682391,0.201316392
1820,1984.019658,0.202165195
1830,2049.20354693,0.20307441
1840,2076.67682809,0.203798233
1850,1993.90121349,0.205003472
1860,2004.51565551,0.205858693
1870,1967.79867128,0.207153419
1880,2025.74036407,0.208013171
1890,2049.89184422,0.209424569
1900,2105.02583394,0.2104531
1910,2143.22811049,0.213036509
1920,2043.60118129,0.213907588
1930,2033.18907391,0.214618951
1940,2043.19285058,0.215419046
1950,1974.76686689,0.216261807
1960,2096.30290402,0.217477618
1970,2101.10804024,0.218385701
1980,2129.57423539,0.219394598
1990,2114.43014402,0.22040576
2000,2130.75229028,0.221375766
2010,2092.05908573,0.222338597
2020,2052.35088338,0.223200237
2030,2119.14189422,0.224395659
2040,2158.01892683,0.225244461
2050,2151.06706967,0.226171422
2060,2217.5230974,0.227075351
2070,2152.29609485,0.227997026
2080,2165.02748129,0.2297743
2090,2117.50775847,0.230675586
2100,2150.78760634,0.231616896
2110,2150.04951725,0.232571799
2120,2099.15471795,0.233640354
2130,2073.69114346,0.234776873
2140,2079.874488,0.23565777
2150,2111.37064354,0.236677994
2160,2115.08327307,0.23820833
2170,2012.18209602,0.239319551
2180,2096.90456323,0.24018912
2190,2100.80845067,0.241068506
2200,2117.14547595,0.241792706
2210,2142.45959651,0.242938664
2220,2127.26947657,0.24364474
2230,2117.06629819,0.244558864
2240,2095.46265056,0.245676127
2250,2103.51889416,0.246717496
2260,2124.82484725,0.247575737
2270,2109.27979326,0.248526863
2280,2096.47435231,0.249305057
2290,2098.71947588,0.250287523
2300,2103.02702308,0.251053635
2310,2112.1999333,0.251977576
2320,2049.95400432,0.252873576
2330,2076.16530377,0.253736726
2340,2009.3549517,0.254606295
2350,2028.7486021,0.25532672
2360,2019.00492937,0.256141917
2370,2045.95715283,0.256974105
2380,2053.51221916,0.257907863
2390,2007.13913048,0.258808394
2400,2029.56409924,0.259964925
2410,2050.92114542,0.260896418
2420,2036.54802759,0.261598342
2430,2048.46458717,0.262515864
2440,2009.90250376,0.263533822
2450,2062.56754339,0.264585763
2460,2153.98991793,0.266344913
2470,2060.47963625,0.267206175
2480,2094.06214035,0.26876785
2490,2147.4389338,0.269525277
2500,2088.9600662,0.270748639
2510,2115.28696305,0.271464155
2520,2084.78441907,0.272561406
2530,2115.49778916,0.273551801
2540,2092.57743754,0.274553524
2550,2085.28966429,0.275474821
2560,2070.91327067,0.276741228
2570,2083.9253485,0.277580591
2580,2084.543396,0.278532472
2590,2128.92175128,0.279564778
2600,2155.6750621,0.280667315
2610,2124.40203403,0.281584459
2620,2060.19497175,0.28248499
2630,2127.67547417,0.283464058
2640,2056.44434997,0.284591137
2650,2092.98176276,0.285527916
2660,2164.89617738,0.286611951
2670,2142.02059583,0.287508328
2680,2160.4194151,0.288678829
2690,2136.12282265,0.289668091
2700,2144.83897624,0.290374167
2710,2136.39683661,0.291240716
2720,2120.35811464,0.291962651
2730,2098.18085892,0.292820137
2740,2111.93479946,0.293572278
2750,2063.61965539,0.294450909
2760,2103.897845,0.295232501
2770,2165.4482348,0.296131899
2780,2136.38173385,0.296990518
2790,2100.57649622,0.297905774
2800,2170.61668849,0.298927886
2810,2179.14386761,0.299880146
2820,2150.12726065,0.300728193
2830,2148.95135565,0.30163099
2840,2179.05725787,0.3025504
2850,2225.67428766,0.303385987
2860,2126.53303662,0.30430955
2870,2114.45301329,0.305196488
2880,2139.53198925,0.306085313
2890,2070.63064711,0.306957148
2900,2104.38932434,0.307883355
2910,2068.29757559,0.308743485
2920,2102.84210545,0.309641373
2930,2127.78084434,0.310536995
2940,2161.98275584,0.311436771
2950,2097.09438276,0.312291614
2960,2168.05919081,0.313167224
2970,2086.73964155,0.314022823
2980,2070.37104041,0.314952428
2990,2080.88964077,0.315842386
3000,2116.10023306,0.316544687
