iterations,fitness,time
0,2075.08828113,0.052396167
10,2191.8788145,0.099571521
20,2221.6228224,0.14844599
30,2209.84220213,0.182226278
40,2204.46488823,0.216193847
50,2198.78664675,0.244863576
60,2204.46488823,0.279130944
70,2198.78664675,0.310544932
80,2210.68986072,0.337680172
90,2198.78664675,0.365921346
100,2204.46488823,0.396708173
110,2209.84220213,0.427271093
120,2204.46488823,0.459561069
130,2211.63492109,0.490575577
140,2198.78664675,0.516104965
150,2200.05766448,0.546701491
160,2198.78664675,0.586471348
170,2202.88268671,0.622319271
180,2223.02839277,0.653721554
190,2210.68986072,0.68128346
200,2204.46488823,0.71217261
210,2223.02839277,0.744704615
220,2209.84220213,0.775273576
230,2202.88268671,0.817878312
240,2209.84220213,0.850579097
250,2205.73105178,0.89017791
260,2213.42422067,0.920858636
270,2210.68986072,0.954581155
280,2199.70068533,0.982902754
290,2198.78664675,1.012971044
300,2222.59307469,1.051285326
310,2204.46488823,1.080999067
320,2204.46488823,1.116669904
330,2223.02839277,1.165478673
340,2222.59307469,1.198260259
350,2213.42422067,1.228807321
360,2200.05766448,1.260006466
370,2206.62735846,1.287713741
380,2213.42422067,1.324467858
390,2209.84220213,1.358218695
400,2198.78664675,1.387867115
410,2223.02839277,1.418348856
420,2210.68986072,1.455745616
430,2223.02839277,1.482999794
440,2202.88268671,1.520968212
450,2213.42422067,1.562139273
460,2211.7643287,1.587906914
470,2198.78664675,1.639767294
480,2200.05766448,1.671262462
490,2223.02839277,1.701902032
500,2213.42422067,1.732982238
510,2222.59307469,1.760083873
520,2210.68986072,1.789193107
530,2213.42422067,1.815147273
540,2205.73105178,1.875087132
550,2223.02839277,1.907186052
560,2209.84220213,1.937709327
570,2209.84220213,1.967231634
580,2198.78664675,1.99857728
590,2198.78664675,2.030982796
600,2198.78664675,2.059055947
610,2198.78664675,2.089903942
620,2200.05766448,2.126046378
630,2204.46488823,2.158591977
640,2198.78664675,2.190374862
650,2222.59307469,2.218716096
660,2198.78664675,2.250651901
670,2209.84220213,2.288286537
680,2210.68986072,2.321096442
